# Complete lexicon

LEX: BARBU	barbu:
LEX: BOLA	bOla
LEX: BUDŹ	bu:tS
LEX: BĚŁE	bIUvE
LEX: BĚŁU	bIUvu:
LEX: CHCU	ktsu:
LEX: CHŁÓDNO	kUvUdnO
LEX: CYLE	tsYlE
LEX: DAJ	daj
LEX: DIGIDOM	dIgIdOmO
LEX: DOSĆ	dOstS
LEX: DWACCI	dUvatstsi:
LEX: DWACEĆI	dUvatse:tSi:
LEX: DWACĆI	dUvatstSi:
LEX: DŹAKUJU dSakuju
LEX: DŹESAĆ	dSEsatS
LEX: DŹESAT	dSEsat
LEX: DŹEWJEĆDŹESAT	dSEUvje:tSdSEsat
LEX: DŹEWJEĆDŹESAĆ	dSEUvje:tSdSEsatS
LEX: DŹEWJEĆ	dSEUvje:tS
LEX: DŹI	dSi:
LEX: HASNYĆ	hasnYtS
LEX: HASŃ	has
LEX: HASŃĆ	hasjntS
LEX: HOTOWY	hOtOUvY
LEX: JE	jE
LEX: KAJKI	kajki:
LEX: KAK	kak
LEX: KAŽ	kaS
LEX: KUS	ku:s
LEX: KUSK	ku:sk
LEX: LAMPA	lampa
LEX: LAMPU	lampu:
LEX: LUBA	lu:ba
LEX: MI	mi:
LEX: MJENJE	mjEnjE
LEX: MÓDRE	mUdrE
LEX: MÓDRU	mUdru:
LEX: MÓŽNO	mUSnO
LEX: NA	na
LEX: NAJSWĚTLIŠO	najsUvItli:SO
LEX: NIČO	ni:tSO
LEX: NJESPÓZNAJU	njEspUznaju:
LEX: NJEWIDŹU	njEUvi:dSu:
LEX: NĚTKO	nItkO
LEX: ON	On
LEX: ORANŽ	OranS
LEX: ORANŽOWE	OranSOUvE
LEX: ORANŽOWU	OranSOUvu:
LEX: PJATNAĆ	pjatnatS
LEX: PJATNAĆE	pjatnatSE
LEX: PJEĆ	pje:tS
LEX: PJEĆA	pje:tSa
LEX: PJEĆADWACCI	pje:tSadUvatstsi:
LEX: PJEĆADWACEĆI	pje:tSadUvatse:tSi:
LEX: PJEĆADWACĆI	pje:tSadUvatstSi:
LEX: PJEĆADŹEWJEĆDŹESAT	pje:tSadSEUvje:tSdSEsat
LEX: PJEĆADŹEWJEĆDŹESAĆ	pje:tSadSEUvje:tSdSEsatS
